country;category;year;value
Autriche;"agdpro
";1982;35047.6873
Autriche;"agdpro
";1983;35876.3041
Autriche;"agdpro
";1984;35615.0763
Autriche;"agdpro
";1985;36211.9557
Autriche;"agdpro
";1986;36755.0639
Autriche;"agdpro
";1987;36965.9625
Autriche;"agdpro
";1988;37866.9565
Autriche;"agdpro
";1989;38925.822
Autriche;"agdpro
";1990;40124.8835
Autriche;"agdpro
";1991;40971.6411
Autriche;"agdpro
";1992;41302.3621
Autriche;"agdpro
";1993;41130.8151
Autriche;"agdpro
";1994;41904.5443
Autriche;"agdpro
";1995;42908.0571
Autriche;"agdpro
";1996;43823.1915
Autriche;"agdpro
";1997;44655.9946
Autriche;"agdpro
";1998;46157.9613
Autriche;"agdpro
";1999;47641.415
Autriche;"agdpro
";2000;49023.1871
Autriche;"agdpro
";2001;49292.5085
Autriche;"agdpro
";2002;49692.5368
Autriche;"agdpro
";2003;49774.9612
Autriche;"agdpro
";2004;50686.2814
Autriche;"agdpro
";2005;51334.7924
Autriche;"agdpro
";2006;52696.284
Autriche;"agdpro
";2007;54323.4688
Autriche;"agdpro
";2008;54777.0823
Autriche;"agdpro
";2009;52414.6827
Autriche;"agdpro
";2010;53082.2648
Autriche;"agdpro
";2011;54264.767
Autriche;"agdpro
";2012;54201.7858
Autriche;"agdpro
";2013;53722.7752
Autriche;"agdpro
";2014;53502.2945
Autriche;"agdpro
";2015;53375.4948
Autriche;"agdpro
";2016;53827.6198
Autriche;"agdpro
";2017;54607.582
Autriche;"agdpro
";2018;55594.0703
Autriche;"agdpro
";2019;56132.527
Autriche;"agdpro
";2020;52301.3724
Autriche;"agdpro
";2021;54565.0673
Autriche;"agdpro
";2022;57656.0766
Belgique;anninc;1950;10717.8262
Belgique;anninc;1951;11308.4321
Belgique;anninc;1952;11083.6989
Belgique;anninc;1953;11381.9577
Belgique;anninc;1954;11817.107
Belgique;anninc;1955;12365.3156
Belgique;anninc;1956;12685.8353
Belgique;anninc;1957;12863.7376
Belgique;anninc;1958;12734.7907
Belgique;anninc;1959;13078.3102
Belgique;anninc;1960;14180.4545
Belgique;anninc;1961;14871.2805
Belgique;anninc;1962;15632.4916
Belgique;anninc;1963;16253.3945
Belgique;anninc;1964;17341.8682
Belgique;anninc;1965;17953.8113
Belgique;anninc;1966;18417.872
Belgique;anninc;1967;19012.2651
Belgique;anninc;1968;19701.1514
Belgique;anninc;1969;20900.0058
Belgique;anninc;1970;22000.3026
Belgique;anninc;1971;22822.0153
Belgique;anninc;1972;23945.8662
Belgique;anninc;1973;25464.3165
Belgique;anninc;1974;26392.1608
Belgique;anninc;1975;25749.9207
Belgique;anninc;1976;27230.4075
Belgique;anninc;1977;26977.8712
Belgique;anninc;1978;27523.7707
Belgique;anninc;1979;27818.4271
Belgique;anninc;1980;28199.3559
Belgique;anninc;1981;27715.9901
Belgique;anninc;1982;27563.8587
Belgique;anninc;1983;27443.687
Belgique;anninc;1984;28122.228
Belgique;anninc;1985;28527.2651
Belgique;anninc;1986;29053.7671
Belgique;anninc;1987;29741.9145
Belgique;anninc;1988;31134.4661
Belgique;anninc;1989;32030.628
Belgique;anninc;1990;32885.5934
Belgique;anninc;1991;33384.2
Belgique;anninc;1992;33647.2663
Belgique;anninc;1993;33484.1431
Belgique;anninc;1994;34789.4062
Belgique;anninc;1995;35414.6505
Belgique;anninc;1996;35595.9704
Belgique;anninc;1997;36939.659
Belgique;anninc;1998;37484.0805
Belgique;anninc;1999;38496.4423
Belgique;anninc;2000;39790.2517
Belgique;anninc;2001;39574.3859
Belgique;anninc;2002;39847.6128
Belgique;anninc;2003;39792.561
Belgique;anninc;2004;40775.2724
Belgique;anninc;2005;41417.3277
Belgique;anninc;2006;42116.7441
Belgique;anninc;2007;43254.3579
Belgique;anninc;2008;43083.3833
Belgique;anninc;2009;41163.8678
Belgique;anninc;2010;42007.2871
Belgique;anninc;2011;41555.0496
Belgique;anninc;2012;42473.5647
Belgique;anninc;2013;42526.6767
Belgique;anninc;2014;42867.6099
Belgique;anninc;2015;43202.262
Belgique;anninc;2016;43152.3828
Belgique;anninc;2017;43631.1302
Belgique;anninc;2018;44038.4765
Belgique;anninc;2019;44254.9889
Belgique;anninc;2020;41275.1722
Belgique;anninc;2021;44055.38
Belgique;anninc;2022;46460.2934
Belgique;"agdpro
";1950;12602.9805
Belgique;"agdpro
";1951;13248.5459
Belgique;"agdpro
";1952;13078.7721
Belgique;"agdpro
";1953;13437.9019
Belgique;"agdpro
";1954;13941.0346
Belgique;"agdpro
";1955;14559.9054
Belgique;"agdpro
";1956;14948.4085
Belgique;"agdpro
";1957;15189.8604
Belgique;"agdpro
";1958;15126.3107
Belgique;"agdpro
";1959;15550.0987
Belgique;"agdpro
";1960;16354.5383
Belgique;"agdpro
";1961;17166.9217
Belgique;"agdpro
";1962;18060.4049
Belgique;"agdpro
";1963;18824.5718
Belgique;"agdpro
";1964;20074.8755
Belgique;"agdpro
";1965;20716.2843
Belgique;"agdpro
";1966;21267.1717
Belgique;"agdpro
";1967;21951.1625
Belgique;"agdpro
";1968;22742.0239
Belgique;"agdpro
";1969;24125.154
Belgique;"agdpro
";1970;25341.9278
Belgique;"agdpro
";1971;26221.8328
Belgique;"agdpro
";1972;27468.996
Belgique;"agdpro
";1973;29061.1566
Belgique;"agdpro
";1974;30212.5334
Belgique;"agdpro
";1975;29445.8725
Belgique;"agdpro
";1976;30933.1946
Belgique;"agdpro
";1977;30929.9617
Belgique;"agdpro
";1978;31592.5229
Belgique;"agdpro
";1979;32103.3222
Belgique;"agdpro
";1980;33292.5702
Belgique;"agdpro
";1981;32967.9863
Belgique;"agdpro
";1982;32931.7778
Belgique;"agdpro
";1983;32812.0678
Belgique;"agdpro
";1984;33386.3245
Belgique;"agdpro
";1985;33707.6755
Belgique;"agdpro
";1986;34118.7165
Belgique;"agdpro
";1987;34708.5835
Belgique;"agdpro
";1988;36146.9501
Belgique;"agdpro
";1989;37207.3437
Belgique;"agdpro
";1990;38172.3203
Belgique;"agdpro
";1991;38658.7342
Belgique;"agdpro
";1992;39046.3136
Belgique;"agdpro
";1993;38497.7355
Belgique;"agdpro
";1994;39583.161
Belgique;"agdpro
";1995;40379.3798
Belgique;"agdpro
";1996;40765.0194
Belgique;"agdpro
";1997;42139.0973
Belgique;"agdpro
";1998;42773.3014
Belgique;"agdpro
";1999;44071.914
Belgique;"agdpro
";2000;45464.0962
Belgique;"agdpro
";2001;45693.9097
Belgique;"agdpro
";2002;46194.9179
Belgique;"agdpro
";2003;46404.3179
Belgique;"agdpro
";2004;47769.7132
Belgique;"agdpro
";2005;48564.8236
Belgique;"agdpro
";2006;49466.62
Belgique;"agdpro
";2007;50913.8539
Belgique;"agdpro
";2008;50764.9555
Belgique;"agdpro
";2009;49365.7533
Belgique;"agdpro
";2010;50385.2274
Belgique;"agdpro
";2011;50824.6257
Belgique;"agdpro
";2012;50794.4211
Belgique;"agdpro
";2013;50653.374
Belgique;"agdpro
";2014;51087.2301
Belgique;"agdpro
";2015;51779.4417
Belgique;"agdpro
";2016;52094.2345
Belgique;"agdpro
";2017;52589.6083
Belgique;"agdpro
";2018;53196.6559
Belgique;"agdpro
";2019;54054.4847
Belgique;"agdpro
";2020;50888.822
Belgique;"agdpro
";2021;53733.5032
Belgique;"agdpro
";2022;56250.2752
Canada;anninc;1950;15171.8502
Canada;anninc;1951;15793.3752
Canada;anninc;1952;16588.3542
Canada;anninc;1953;16835.6912
Canada;anninc;1954;16163.0006
Canada;anninc;1955;17247.1739
Canada;anninc;1956;18232.7864
Canada;anninc;1957;18257.5632
Canada;anninc;1958;18324.4205
Canada;anninc;1959;18703.6196
Canada;anninc;1960;18527.0844
Canada;anninc;1961;19501.2293
Canada;anninc;1962;20726.0744
Canada;anninc;1963;21480.1669
Canada;anninc;1964;22464.0096
Canada;anninc;1965;23454.1652
Canada;anninc;1966;24500.7989
Canada;anninc;1967;24616.8027
Canada;anninc;1968;25293.0404
Canada;anninc;1969;26071.618
