"","X","ktnr","ktname","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_u2000","year","Einheit.ID"
"34",34,8,"GL","Total",21724,20.047,923,230,0.785,42874,38000,0.409,31895.25,28800,0.391460776329041,48828,43000,0.399,35348.79296875,32745.37109375,0.358544737100601,0,0,3400,17600,22100,25600,32000,38000,43800,50500,54700,59700,76300,95100,102100,113200,132900,176000,239900,448700,NA,3344,3104,1788,3085,3625,3430,2389,1513,886,591,379,214,157,97,88,61,44,35,29,23,20,166,1998,NA
"35",35,9,"ZG","Total",53846,138.501,2572,448,0.839,64010,46800,0.487,47126.83984375,36400,0.459807336330414,69198,51400,0.475,50172.16796875,39800,0.437846660614014,0,0,8500,21400,26900,31400,39300,46800,55400,65700,72400,81100,111200,153600,171300,197600,246400,354700,528900,1487000,NA,8550,5793,4343,5093,6714,7018,5892,4617,3297,2415,1801,1349,943,756,572,414,357,277,235,212,176,1572,1998,NA
"36",36,10,"FR","Total",124370,118.21,950,196,0.805,43537,36800,0.414,32016.140625,27875,0.384523719549179,49707,41700,0.404,35659.63671875,32111.111328125,0.351898163557053,0,2000,7400,17300,20900,24300,30800,36800,43000,50400,54900,60400,78000,98000,105000,115100,132300,172100,227600,470800,2548700,21870,15037,14312,18588,20779,17769,12551,8314,5436,3532,2245,1504,995,679,487,373,278,212,178,140,112,849,1998,NA
"37",37,11,"SO","Total",141334,142.072,1005,252,0.786,45520,39900,0.414,33711.27734375,30133.333984375,0.3935486972332,50930,44400,0.405,36972.41015625,33866.66796875,0.366822391748428,0,0,4100,17800,22500,26500,33600,39900,46300,54000,58700,64500,82200,102000,109400,120100,139000,182900,247400,489400,1942800,26374,20125,11111,17720,21939,20981,15759,10908,7411,4800,3031,1966,1319,854,632,457,361,258,218,181,150,1153,1998,NA
"38",38,12,"BS","Total",119660,183.903,1537,284,0.83,52579,42600,0.458,41523.0625,35100,0.430911034345627,57561,46800,0.442,44808.00390625,38700,0.402709454298019,0,0,4800,17700,22100,26800,35100,42600,50400,59100,64500,71200,94300,123000,135000,152700,181600,250200,352000,868300,4938600,23003,15990,10765,13220,15704,15397,13740,9888,6785,4710,3169,2321,1561,1173,842,636,525,444,333,308,217,1932,1998,NA
"39",39,13,"BL","Total",151902,240.967,1586,399,0.79,52895,44800,0.448,38954.4609375,34538.4609375,0.423789918422699,58456,49600,0.435,42334.6328125,38400,0.396770149469376,0,0,0,17400,24000,29200,37400,44800,52400,61500,67300,74600,98100,126000,136600,151300,178200,233600,315700,627800,2633500,28465,23997,9000,13822,18986,20555,17558,13014,9233,6711,4553,3356,2365,1790,1324,957,718,552,457,392,342,2220,1998,NA
"40",40,14,"SH","Total",41913,41.62,993,280,0.764,45561,40400,0.405,34207.79296875,31400,0.38284432888031,51338,45300,0.39,37743.02734375,35266.66796875,0.349357277154922,0,0,2800,18900,23800,27500,34200,40400,46900,54500,59100,64800,82500,102100,109400,120900,137400,179500,237300,503100,NA,7303,5759,3012,5199,6698,6272,4829,3290,2238,1423,925,609,363,303,204,127,89,83,75,57,42,316,1998,NA
"41",41,15,"AR","Total",30166,38.483,1276,220,0.836,46074,38000,0.461,33931.375,28800,0.440671235322952,51976,42800,0.446,37323.45703125,32904.76171875,0.408555716276169,0,0,0,15600,20500,24500,31500,38000,44700,52600,57300,63200,82300,107000,116500,130500,155200,234400,353100,813500,NA,6001,4742,2600,4015,4641,4188,3163,2176,1395,873,594,378,290,193,136,117,99,62,45,34,28,397,1998,NA
"42",42,16,"AI","Total",7771,9.207,1185,194,0.84,44731,36300,0.447,33757.65625,27900,0.439081877470016,51254,42200,0.429,37409.90625,32190.4765625,0.399005383253098,0,0,0,17200,21200,24600,30700,36300,42600,50100,54100,60000,78200,100400,109600,125800,147500,210400,292300,NA,NA,1432,1030,758,1223,1339,1078,788,512,313,223,113,85,55,38,42,25,19,14,13,7,12,84,1998,NA
"43",43,17,"SG","Total",246342,269.111,1092,230,0.809,45121,38300,0.433,33283.95703125,29200,0.410863697528839,50958,43200,0.42,36662.9765625,33142.85546875,0.378460437059402,0,0,1300,17200,21600,25300,32000,38300,44700,52300,57000,62700,81200,103000,111600,124500,146900,2e+05,277900,596600,2217200,45120,35262,21224,33842,39406,35575,26279,17441,11602,7414,4891,3144,2148,1482,1130,805,657,522,425,323,301,2469,1998,NA
