"","ktnr","ktname","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_u2000","year","Einheit ID"
"683","9","ZG","Total",56668,374.164,6603,865,0.844,116808,70300,0.504,87318.4296875,56000,0.461579471826553,124603,77200,0.494,92142.15625,61133.33203125,0.442889988422394,18000,24000,31100,41600,46300,50800,60000,70300,83000,100300,111800,127100,192600,299900,346400,419300,529800,820000,1271100,3754800,NA,0,170,1033,4005,5078,6153,6194,5521,4603,3822,2991,2509,2032,1659,1321,1092,894,738,571,502,481,5299,2015,NA
"684","10","FR","Total",121856,222.399,1825,450,0.785,70005,56600,0.356,53553.50390625,44900,0.310016244649887,78621,61200,0.364,58858.1328125,51000,0.293693274259567,13800,21200,25700,34500,38200,41800,48900,56600,65100,74900,81100,89000,115000,146000,157900,175000,205100,270800,364900,702300,2730900,0,826,3566,13222,15752,17138,15572,13590,10661,7847,5784,4119,3003,2245,1631,1273,949,713,556,426,360,2623,2015,NA
"685","11","SO","Total",121948,197.774,1622,477,0.75,67973,56200,0.331,53347.53515625,46380.953125,0.282846361398697,75324,60300,0.34,58081.5546875,51500,0.27085879445076,17900,22300,27000,35800,39400,42700,49100,56200,64200,73800,79800,87500,111900,141800,153000,169200,196100,260400,347500,724900,2901900,0,455,2914,12358,15811,18676,16789,13984,10572,7735,5809,4061,2817,2147,1471,1170,875,686,494,453,350,2321,2015,NA
"686","12","BS","Total",89112,314.861,3533,591,0.835,84591,58700,0.443,67837.8203125,49900,0.401708155870438,91098,63000,0.437,72184.6640625,54444.4453125,0.383158534765244,13600,20700,25300,34500,38700,42600,50500,58700,68000,80100,88400,99600,139500,191100,211700,242500,296300,413700,606100,1639200,NA,0,553,3057,9761,10292,11405,10681,9302,7238,5231,3890,3067,2373,1904,1509,1208,1032,856,693,520,487,4053,2015,NA
"687","13","BL","Total",128026,354.897,2772,676,0.779,82569,64250,0.373,62288.828125,51200,0.323471665382385,90857,70100,0.373,67493.25,56533.33203125,0.30605748295784,17800,23400,30000,40100,44200,48100,56000,64250,73400,85300,93000,102500,136900,181900,200500,226800,272700,376200,530400,1277400,3992200,0,555,2624,9622,12570,16008,16195,14704,11961,9440,7162,5438,4162,3104,2338,1870,1520,1173,1009,737,679,5155,2015,NA
"688","14","SH","Total",35451,59.497,1678,437,0.773,66889,54200,0.346,52700.6640625,45000,0.29823887348175,73729,58300,0.351,57159.03515625,49800,0.285096377134323,16000,21200,25600,34000,37400,40800,47300,54200,62200,71700,77500,84900,109800,142900,155400,176400,209900,284600,381500,810700,NA,0,168,1133,3997,4874,5426,4741,3896,2986,2120,1520,1058,750,505,404,303,253,162,142,123,88,802,2015,NA
"689","15","AR","Total",23761,47.391,1994,403,0.81,69238,53500,0.378,54127.55078125,44000,0.332440495491028,76239,57400,0.381,58611.94921875,49066.66796875,0.317592024803162,10300,20700,24800,33000,36700,39900,46400,53500,61600,71600,78000,85800,113400,152400,169600,191700,233200,319400,434200,1058300,NA,0,233,732,2857,3312,3610,3065,2446,1896,1362,1013,704,467,348,259,202,174,134,128,89,71,659,2015,NA
"690","16","AI","Total",6941,18.331,2641,429,0.846,75234,54300,0.418,57602.44921875,44600,0.360294580459595,82578,58300,0.418,62268.75,49700,0.343780696392059,12300,20700,24900,33400,36700,40300,46600,54300,62900,73400,79700,87400,119200,159900,178400,206100,253100,355800,566900,NA,NA,0,53,239,810,953,1028,855,723,559,419,282,186,153,124,85,70,55,41,33,30,24,219,2015,NA
"691","17","SG","Total",215899,347.5,1610,394,0.783,65338,52900,0.352,51162.0546875,43777.77734375,0.301589101552963,72485,56800,0.358,55754.1796875,48900,0.287933439016342,8000,20400,24700,33100,36500,39800,46000,52900,60500,69900,75600,82900,107400,139200,152200,171000,202600,277900,377300,861600,2710000,0,2666,7042,24949,30690,33777,28989,23163,17389,12366,8571,6087,4233,3122,2225,1680,1333,1043,835,705,567,4467,2015,NA
"692","18","GR","Total",93683,165.233,1764,405,0.795,63200,50800,0.403,49512.21875,42200,0.365121334791183,70500,54600,0.394,54168.875,47388.890625,0.341015219688416,2700,7400,18000,27700,32400,36200,43400,50800,59000,68600,74500,81700,106700,138900,153300,174900,214000,307000,418000,907000,NA,0,6241,4911,9716,12109,12869,11400,9423,7260,5052,3503,2525,1828,1313,931,671,540,439,303,267,239,2143,2015,NA
"693","19","AG","Total",290104,526.948,1816,550,0.74,71978,59700,0.33,55560.58984375,48000,0.283203780651093,79843,64600,0.336,60536.02734375,53333.33203125,0.268211156129837,18000,23000,28800,37900,41600,45100,52100,59700,68200,78500,85000,93100,120000,152300,164500,182000,210300,277900,362100,701400,2e+06,0,853,6298,24685,33861,41444,38868,33324,27153,20216,15201,10992,8113,5954,4530,3319,2682,2030,1530,1286,1014,6751,2015,NA
"694","20","TG","Total",116452,210.837,1811,445,0.784,68915,55300,0.355,52978.2265625,44611.109375,0.30756077170372,76724,60000,0.359,57910.828125,50047.6171875,0.292218685150146,14600,21300,25800,34400,38000,41400,48000,55300,63500,73200,79500,87100,112900,145500,158100,177800,209000,281200,380500,866300,4865400,0,699,3356,12673,15590,17387,15420,12872,9706,7282,5107,3814,2679,1967,1473,1084,822,623,493,463,351,2591,2015,NA
"695","21","TI","Total",151001,398.039,2636,400,0.843,72209,51500,0.442,55488.91015625,42200,0.394628167152405,79042,55500,0.437,59877.71484375,47466.66796875,0.377135306596756,4500,17300,21300,29200,32900,36300,43500,51500,60400,71100,77900,86800,121700,176600,200600,238400,301300,430200,603500,1390400,3949800,0,4528,7749,19286,21347,19655,17188,14556,10910,7700,5405,4088,3074,2282,1791,1412,1131,862,723,592,563,6159,2015,NA
"696","22","VD","Total",306753,990.812,3230,594,0.812,83464,60500,0.425,62168.79296875,48500,0.367802888154984,91677,65800,0.421,67269.71875,54100,0.349373787641525,7800,20300,25200,34700,38900,42900,51400,60500,70700,83800,92700,104000,145700,204800,228800,265600,323500,449000,615000,1265000,4342700,0,4264,9967,30750,35605,37064,34155,30186,24792,18909,14603,11554,8950,6972,5629,4456,3615,2983,2471,2054,1681,16093,2015,NA
"697","23","VS","Total",155055,213.705,1378,331,0.783,57476,47700,0.402,45010.4765625,39700,0.361873209476471,64125,51300,0.408,49240.80859375,45200,0.348766714334488,1700,4400,10000,24900,29200,33300,40500,47700,55700,65300,70700,77200,99200,128300,140600,158800,193100,250300,337700,694600,2237700,0,15431,6698,17946,20633,21375,18163,15120,11427,7775,5297,3477,2474,1722,1232,948,744,547,427,415,309,2895,2015,NA
"698","24","NE","Total",71741,131.433,1832,405,0.798,68524,54100,0.367,52808.046875,44266.66796875,0.310280531644821,76258,57800,0.375,57629.7265625,49800,0.298417866230011,16400,21000,25000,32800,36300,39700,46300,54100,62600,72800,79200,86800,113200,146100,159100,179500,212500,291300,388000,916000,NA,0,338,2264,8987,10248,10436,8718,7376,5856,4417,3176,2201,1593,1192,888,713,497,405,304,236,236,1660,2015,NA
"699","25","GE","Total",183622,920.728,5014,695,0.851,99993,64600,0.492,73335.5,51153.84765625,0.436629980802536,108048,70300,0.485,78292.109375,56769.23046875,0.418391495943069,11700,20300,25000,34800,39600,44600,54700,64600,75500,89900,99900,113000,164000,239800,275400,326800,411100,611200,874900,2563700,13125400,0,1452,6380,19590,19060,18276,18669,17684,15509,11927,9232,7266,5695,4529,3749,2889,2467,2084,1714,1521,1241,12688,2015,NA
"700","26","JU","Total",29880,36.878,1234,318,0.77,60630,49600,0.334,47492.046875,41300,0.282216340303421,68110,53400,0.347,52222.74609375,46900,0.27132573723793,17500,20700,24200,31100,34300,37200,43100,49600,57400,66800,72200,78600,1e+05,124450,133900,149000,172300,220300,286600,571000,NA,0,129,1071,4255,4855,4745,3737,3014,2371,1610,1103,797,519,358,245,190,157,96,105,68,62,393,2015,NA
"701","1","ZH","Total",675435,2272.455,3364,705,0.797,86827,64200,0.406,66987.59375,52533.33203125,0.357437998056412,94553,69400,0.403,71892.09375,57600,0.34037309885025,17800,22300,28100,38500,42900,47100,55400,64200,74200,87500,96300,107400,148400,204900,227600,260700,316300,448600,638700,1448200,4909500,NA,2434,16299,58189,68464,79650,80257,72805,59026,45864,35627,28221,21552,17068,13282,10603,8662,6936,5866,4897,4131,35602,2016,NA
"702","2","BE","Total",452355,758.593,1677,469,0.759,68275,55700,0.334,54118.890625,46384.6171875,0.290456593036652,75404,60000,0.341,58745.05078125,51222.22265625,0.276034772396088,18200,22500,27400,35900,39400,42500,48900,55700,63800,73300,79400,87000,112300,142400,153800,170000,197700,262500,351800,734400,2749800,NA,938,10599,44445,61031,71102,62753,51165,38941,28346,20423,14629,10589,7766,5843,4309,3295,2586,1940,1637,1226,8792,2016,NA
"703","3","LU","Total",176604,354.255,2006,479,0.79,71299,56300,0.359,55686.26953125,46400,0.311891704797745,78883,60500,0.364,60514.734375,51533.33203125,0.295670598745346,17900,21900,26800,35800,39500,42800,49300,56300,64300,74100,80400,88500,116000,151700,166100,187100,224000,310100,437400,1028400,3917400,NA,667,4482,17852,22373,26994,24488,19872,15106,10830,7849,5773,4101,3051,2262,1787,1366,1070,847,723,566,4545,2016,NA
"704","4","UR","Total",15573,21.36,1372,426,0.747,63897,54300,0.317,50316.23828125,44380.953125,0.27535942196846,70558,58300,0.325,54616.63671875,49066.66796875,0.261103600263596,10200,21500,26500,35200,38600,41900,48000,54300,61200,69600,74300,80100,100400,125900,135500,148500,174100,232200,296500,560000,NA,NA,149,416,1509,2119,2538,2347,1903,1457,924,622,449,255,174,142,116,76,46,43,27,32,229,2016,NA
"705","5","SZ","Total",72141,443.634,6150,639,0.878,109203,62400,0.528,83736.5625,50700,0.491185337305069,116735,67600,0.517,88486.828125,55800,0.470670163631439,16200,22300,27800,38000,42100,46000,53800,62400,72600,86200,96000,109100,166400,272300,319000,387900,520900,853000,1399300,3982400,NA,NA,386,1747,6342,7707,9219,8818,7305,6049,4436,3291,2622,1936,1557,1208,1001,823,717,566,498,425,5488,2016,NA
"706","6","OW","Total",16873,43.995,2607,478,0.838,74748,55500,0.417,58943.1171875,45400,0.383046597242355,81867,59400,0.417,63457.82421875,50619.046875,0.365057617425919,4400,19200,24100,34000,37800,41300,48300,55500,63500,72800,78900,86600,116000,156300,175300,203900,262000,383600,557200,1464600,NA,NA,428,530,1639,2133,2438,2243,1925,1444,988,685,499,365,269,195,168,126,81,76,68,42,531,2016,NA
"707","7","NW","Total",20544,80.798,3933,594,0.854,89551,60400,0.456,70838.734375,49300,0.425319194793701,96171,64800,0.45,75093.8828125,54000,0.406919866800308,13400,21800,27100,37100,41200,45000,52300,60400,69500,81100,89200,98700,135000,190000,215300,257100,348000,484600,722100,2588700,NA,NA,139,513,1905,2278,2710,2596,2281,1775,1296,1063,774,574,402,348,239,212,155,129,125,99,931,2016,NA
"708","8","GL","Total",17553,24.736,1409,390,0.763,63242,52600,0.335,50291.58203125,43700,0.295452326536179,70469,56600,0.343,54986.76171875,48800,0.280737638473511,6900,20500,24800,33000,36600,40000,46100,52600,59800,68800,74200,80700,103800,131600,143500,159400,184600,253700,344300,663100,NA,NA,236,550,2009,2464,2799,2501,1921,1479,985,656,467,342,240,151,133,97,88,63,40,40,292,2016,NA
"709","9","ZG","Total",57868,388.926,6721,906,0.839,118269,71200,0.501,88806.3984375,57000,0.46223509311676,126024,78200,0.492,93594.40625,62066.66796875,0.443790137767792,18100,24000,31400,42500,47100,51700,61000,71200,84500,102100,114300,129900,195900,303300,353400,421300,540400,840000,1277800,4003000,NA,NA,160,1092,3943,4861,6212,6240,5734,4688,3818,3139,2542,2056,1815,1403,1091,944,788,677,561,497,5607,2016,NA
"710","10","FR","Total",125975,219.616,1743,489,0.759,70195,57900,0.343,53289.63671875,46066.66796875,0.292187392711639,78925,62800,0.352,58651.59765625,52100,0.276736110448837,14300,21400,26000,35400,39400,43100,50400,57900,66500,76700,83100,91100,117300,149100,161000,177600,206200,273900,365800,702300,2569300,NA,821,3550,12981,15093,17259,16434,14069,11290,8460,6311,4625,3220,2414,1917,1337,1042,856,655,496,406,2739,2016,NA
"711","11","SO","Total",123401,208.674,1691,508,0.748,69261,57300,0.331,54283.390625,47200,0.283976912498474,76721,61700,0.34,59073.68359375,52400,0.271649330854416,18000,22400,27400,36500,40100,43600,50200,57300,65400,75100,81300,88900,113600,144000,155700,172400,198800,263700,356400,757400,2881200,NA,422,2893,11985,15167,18430,17008,14281,11087,8174,5930,4321,3176,2257,1632,1147,926,717,569,473,381,2425,2016,NA
"712","12","BS","Total",89103,325.8,3656,604,0.834,85981,59500,0.446,68817.1015625,50300,0.403787672519684,92429,63600,0.439,73111.9453125,54888.890625,0.385739594697952,14700,20900,25500,34800,38800,42900,51000,59500,68800,81200,89700,101300,142900,197300,218700,249000,300200,419600,609100,1576600,NA,NA,513,2911,9713,10361,10934,10602,9349,7285,5258,3892,3104,2436,1936,1500,1232,1041,838,763,600,523,4312,2016,NA
"713","13","BL","Total",129128,371.94,2880,697,0.78,83760,65000,0.376,63071.24609375,51666.66796875,0.324939012527466,92017,70800,0.375,68254.0546875,57000,0.307810336351395,17800,23400,30200,40500,44600,48600,56600,65000,74400,86400,94100,103800,138900,185400,204900,232300,279400,383500,526500,1237300,5099500,NA,540,2619,9520,12302,15919,16107,14629,12330,9580,7376,5631,4289,3165,2443,1916,1602,1213,1013,831,646,5457,2016,NA
"714","14","SH","Total",35919,60.758,1692,463,0.763,67718,55400,0.342,53523.3671875,45900,0.296419322490692,74600,59500,0.347,58001.62890625,50700,0.283193171024323,16800,21400,25800,34700,38300,41800,48300,55400,63400,72800,78800,86500,112100,145300,157000,176200,207200,279800,371900,769400,NA,NA,170,1075,3877,4698,5447,4827,4031,3104,2151,1598,1152,799,580,436,341,270,183,151,143,83,803,2016,NA
"715","15","AR","Total",24592,51.102,2078,437,0.808,70571,54600,0.376,55280.27734375,45000,0.330307185649872,77439,58500,0.379,59696.53125,49800,0.315623104572296,11500,21000,25500,34000,37700,41000,47500,54600,62800,72600,78700,86800,114500,153600,168100,193200,230500,329400,430000,1234800,NA,NA,205,729,2755,3319,3696,3268,2692,2018,1455,996,730,545,383,263,221,210,144,107,89,80,687,2016,NA
"716","16","AI","Total",7071,15.587,2204,466,0.804,72455,55700,0.38,56916.2109375,45900,0.33849772810936,79997,59700,0.383,61677.82421875,51000,0.32233265042305,13800,20700,25200,34500,38300,41600,48200,55700,64300,75400,82100,90300,120100,159300,179900,205100,251100,369200,540000,NA,NA,NA,44,236,769,906,1047,895,735,560,454,298,250,168,124,104,66,68,35,30,35,24,223,2016,NA
"717","17","SG","Total",219107,366.049,1671,421,0.78,66563,54000,0.352,52061.65234375,44500,0.30272164940834,73780,57900,0.358,56677.9609375,49600,0.288883119821548,8700,20600,24900,33700,37300,40600,47000,54000,61800,71100,77000,84400,109400,140900,153900,172000,204900,279200,382400,797900,2834800,NA,2502,7015,24376,29559,33743,29578,24151,18132,12772,9211,6466,4651,3278,2510,1801,1446,1126,885,698,558,4649,2016,NA
"718","18","GR","Total",94995,173.416,1826,424,0.796,64208,51600,0.404,50218.86328125,42800,0.365617781877518,71554,55400,0.394,54895.07421875,47900,0.341430872678757,2700,7600,18200,28300,32900,36800,44100,51600,59800,69300,75400,82600,107900,140700,155000,176200,215900,307000,421000,918800,NA,NA,6183,4884,9498,11928,12940,11711,9870,7382,5168,3738,2643,1930,1352,962,683,605,444,357,307,223,2187,2016,NA
"719","19","AG","Total",296541,560.148,1889,586,0.734,73410,61000,0.329,56619.5625,49066.66796875,0.28368267416954,81337,66100,0.335,61614.8203125,54400,0.268473148345947,18000,23200,29300,38800,42600,46200,53500,61000,69700,80200,86900,95200,122300,155000,167400,185300,214700,277300,364400,702300,2036200,NA,871,6373,23982,32168,41051,39704,34586,27993,21281,16116,12251,8665,6446,4905,3711,2897,2149,1651,1419,1067,7255,2016,NA
"720","20","TG","Total",119346,217.338,1821,487,0.768,70008,56900,0.348,53751.015625,45733.33203125,0.301912546157837,77948,61700,0.353,58747.05859375,51222.22265625,0.28659200668335,14600,21500,26200,35400,39200,42600,49600,56900,65200,75200,81600,89700,116300,149700,162100,181000,211200,281400,378900,812100,3300000,NA,695,3352,12165,14908,17211,16048,13321,10390,7599,5617,4133,2980,2194,1554,1243,1004,692,590,450,424,2776,2016,NA
"721","21","TI","Total",151891,408.455,2689,423,0.84,73171,52600,0.44,56281.62109375,43000,0.394039988517761,80071,56600,0.435,60710.59375,48166.66796875,0.376369774341583,4600,17800,21400,29800,33600,37100,44500,52600,61300,72100,79000,88100,123500,178500,202100,242300,305800,439000,612200,1423100,3640200,NA,4491,7556,18596,20787,19685,17814,14713,11241,7853,5790,4166,3116,2392,1885,1450,1197,902,762,675,564,6256,2016,NA
"722","22","VD","Total",313756,1041.071,3318,625,0.809,84797,61500,0.424,63183.82421875,49400,0.36847135424614,92928,66800,0.421,68229.890625,54846.15234375,0.350389957427979,8000,20400,25400,35400,39700,43800,52600,61500,71800,85300,94300,105700,148200,206900,231100,266900,324600,447000,614300,1255200,4633500,NA,4257,10047,30398,34741,37124,35100,31336,25592,19565,15495,11982,9409,7461,5876,4754,3858,3110,2709,2221,1839,16882,2016,NA
"723","23","VS","Total",158327,236.544,1494,355,0.789,59272,49000,0.404,46420.7890625,40600,0.366394191980362,66038,52700,0.41,50717.91796875,46100,0.3522929251194,1600,4500,11200,25600,30200,34300,41700,49000,56900,66400,72000,78700,101100,130500,142800,161200,193800,254600,338700,760000,2809800,NA,15192,6643,17333,20171,21701,19241,15693,12022,8403,5565,3900,2665,1800,1371,944,743,702,505,417,334,2982,2016,NA
"724","24","NE","Total",72529,128.629,1773,429,0.783,68413,54800,0.358,52744.60546875,44812.5,0.301950305700302,76185,58900,0.367,57583.3984375,50380.953125,0.290385156869888,17400,21100,25100,33100,36800,40400,47100,54800,63500,73700,79900,87800,114400,147800,160800,181900,217300,293700,397100,792100,NA,NA,347,2240,8936,9773,10505,8955,7564,6085,4495,3178,2384,1713,1244,946,671,548,400,309,262,219,1755,2016,NA
"725","25","GE","Total",185858,910.54,4899,703,0.846,99031,64700,0.486,73030.703125,51230.76953125,0.433939069509506,107126,70500,0.479,78016.6953125,56833.33203125,0.415531396865845,11000,20300,25000,34900,39800,44800,54800,64700,75700,90100,100100,113400,163400,240000,274300,324000,408700,600300,873500,2326300,13903300,NA,1594,6433,19776,18955,18512,18967,17917,15476,12212,9369,7366,5765,4651,3739,3182,2539,2112,1667,1494,1231,12901,2016,NA
"726","26","JU","Total",30308,35.365,1167,339,0.745,60649,50800,0.323,47484.35546875,42042.328125,0.270295351743698,68133,54500,0.337,52225.53515625,47666.66796875,0.259904474020004,17600,20800,24400,31600,35000,38100,44100,50800,58200,67700,73400,79900,100900,125900,136100,150700,174300,220100,291400,525300,NA,NA,119,1056,4176,4676,4765,4015,3020,2437,1717,1184,857,536,358,273,192,158,123,83,81,75,407,2016,NA
"727","1","ZH","Total",685305,2408.185,3514,713,0.802,88108,64500,0.414,67942,52700,0.367,95889,69800,0.411,72884,57800,0.349,14900,22000,27800,38500,42900,47100,55500,64500,74500,88000,96800,108100,149800,207900,230400,264600,322900,455000,654000,1591700,5287700,0,4104,16901,58600,67983,79932,80376,73604,60003,46285,36425,28495,22274,17479,13614,10801,8727,7307,5939,5006,4239,37211,2017,NA
"728","2","BE","Total",456838,767.276,1680,475,0.757,68403,55900,0.334,54266,46500,0.29,75234,60000,0.339,58711,51238,0.276,18200,22500,27500,35900,39500,42600,49000,55900,64000,73600,79700,87300,112700,142900,154600,171100,199500,263200,351100,742000,2826400,0,903,10447,45158,61095,71248,63348,51572,39547,28804,20769,14888,10811,7944,6003,4329,3356,2622,2073,1571,1265,9085,2017,NA
"729","3","LU","Total",178925,391.254,2187,490,0.803,73098,56600,0.37,56946,46667,0.324,80742,60900,0.374,61808,51800,0.306,17900,22000,26900,36100,39800,43200,49600,56600,64700,74600,81000,89100,117400,153500,168500,190600,228000,318800,456900,1184900,5814200,0,728,4451,17752,22119,27356,24864,20205,15331,11100,7976,5886,4163,3214,2461,1807,1404,1094,879,707,578,4850,2017,NA
"730","4","UR","Total",15756,23.686,1503,442,0.763,65230,54800,0.328,51088,44667,0.284,72320,59000,0.335,55642,49600,0.269,10300,21300,26300,35100,38800,42100,48300,54800,61800,70100,75100,81100,101600,127900,139300,152000,178600,242400,323300,671000,NA,0,150,460,1512,2112,2452,2372,1946,1469,996,635,431,270,198,140,125,73,57,49,35,22,252,2017,NA
"731","5","SZ","Total",73120,460.323,6295,639,0.879,110471,62500,0.532,84570,50933,0.495,118001,67600,0.522,89325,56000,0.474,16500,22200,27900,38000,42000,45900,53800,62500,72800,86600,96600,109800,168500,275650,322300,393400,531500,853100,1365100,4092700,NA,0,367,1842,6373,7814,9368,8807,7447,5996,4517,3359,2643,1961,1593,1243,991,876,696,613,490,442,5682,2017,NA
"732","6","OW","Total",17113,52.626,3075,482,0.861,78879,55800,0.445,62607,45700,0.416,85380,59300,0.442,66735,50389,0.398,4300,19500,24600,34100,38000,41500,48500,55800,63600,73200,79300,86600,115800,160200,177800,210000,260000,4e+05,576500,1710500,NA,0,434,498,1699,2111,2417,2332,1930,1491,1039,725,507,349,254,197,140,123,117,80,64,49,557,2017,NA
"733","7","NW","Total",20756,87.241,4203,609,0.86,92012,60900,0.467,72476,49800,0.435,98634,65300,0.46,76727,54333,0.416,13000,21800,27200,37500,41600,45200,52800,60900,69900,81400,89400,99400,135200,195500,225000,265400,347100,498500,763500,2907900,NA,0,144,555,1810,2202,2799,2625,2334,1828,1324,1025,817,551,472,329,259,187,164,129,114,79,1009,2017,NA
"734","8","GL","Total",17783,25.332,1424,397,0.763,63390,52900,0.337,50501,43900,0.297,70541,56700,0.344,55159,49100,0.283,6600,20300,24700,33000,36600,39800,46200,52900,60400,69100,74600,81300,102900,132900,143700,160000,184800,253800,334100,753400,NA,0,248,571,2072,2473,2760,2443,2031,1463,1052,724,477,310,213,178,133,101,86,69,45,35,299,2017,NA
"735","9","ZG","Total",58830,416.237,7075,942,0.839,121550,72400,0.508,90840,57833,0.468,129443,79400,0.498,95700,63048,0.449,18000,24000,31700,42900,47500,52300,61900,72400,85750,103900,116600,132700,202500,315000,368300,448200,580000,891500,1421700,3851300,NA,0,198,1114,3917,4831,6186,6137,5742,4819,3900,3207,2601,2189,1848,1377,1174,979,840,660,598,500,6013,2017,NA
"736","10","FR","Total",128880,224.722,1744,497,0.755,70335,58100,0.34,53573,46400,0.29,78983,63000,0.35,58893,52381,0.275,15000,21500,26300,35600,39600,43400,50600,58100,66700,77000,83500,91300,117800,149700,161700,179000,207400,273300,359800,667300,2207500,0,788,3573,13122,15318,17631,16846,14455,11624,8791,6408,4676,3376,2524,1916,1409,1094,837,683,533,415,2861,2017,NA
"737","11","SO","Total",124488,220.793,1774,516,0.755,70169,57700,0.336,54974,47500,0.289,77604,62100,0.344,59750,52667,0.276,18000,22400,27500,36700,40400,43900,50600,57700,65700,75500,81800,89600,114900,145700,157300,174200,202200,268600,360000,778700,2827900,0,390,2890,12068,14935,18408,17296,14539,11158,8139,6130,4390,3161,2332,1659,1246,1037,734,585,444,379,2568,2017,NA
"738","12","BS","Total",89324,338.049,3785,615,0.835,87208,59800,0.451,69729,50600,0.41,93777,64200,0.444,74092,55267,0.391,13400,20700,25200,34800,39100,43100,51300,59800,69400,82100,90800,102700,144400,201100,223600,256800,309300,433900,607700,1685500,NA,0,611,2979,9659,10074,10970,10482,9295,7110,5417,3946,3191,2552,1941,1521,1290,1048,884,724,568,535,4527,2017,NA
"739","13","BL","Total",130078,418.352,3216,701,0.801,86620,65000,0.396,64884,51800,0.343,94835,70900,0.394,70042,57100,0.325,17600,23200,29900,40400,44600,48700,56600,65000,74600,86600,94300,104300,139600,187100,207000,235500,283900,398300,563100,1654500,5861900,0,568,2770,9697,12350,15733,16315,14620,12308,9659,7348,5724,4351,3229,2469,1902,1620,1234,1094,786,645,5656,2017,NA
"740","14","SH","Total",36501,63.554,1741,473,0.765,68428,56000,0.344,53911,46067,0.298,75459,60300,0.35,58465,51000,0.285,16400,21400,25800,34800,38700,42000,48800,56000,64100,73400,79400,87000,113000,145800,157900,177700,211200,286100,377500,775000,NA,0,176,1094,3913,4647,5373,4926,4165,3215,2216,1634,1209,786,607,472,382,280,184,165,133,103,821,2017,NA
"741","15","AR","Total",25013,51.728,2068,453,0.801,70796,55200,0.372,55765,45429,0.328,77648,59300,0.375,60171,50400,0.313,15000,21200,25700,34200,37800,41200,48000,55200,63500,73100,79300,87300,116600,155000,171000,197900,238300,328500,457600,1062100,NA,0,134,787,2760,3353,3674,3263,2809,2109,1484,1037,720,565,434,315,223,188,140,116,80,83,739,2017,NA
"742","16","AI","Total",7154,19.328,2702,468,0.837,76557,55700,0.412,60773,45900,0.378,84032,59900,0.412,65533,50939,0.361,14000,21000,25100,34400,38300,41800,48300,55700,64400,74900,81700,90300,121200,168100,185800,212500,263100,394600,627000,NA,NA,0,45,245,777,902,1090,873,763,574,438,315,236,166,102,105,70,60,44,42,29,31,247,2017,NA
"743","17","SG","Total",221756,372.23,1679,432,0.777,66757,54400,0.351,52285,44800,0.303,73969,58400,0.357,56896,49900,0.289,8200,20500,25000,33800,37500,40900,47300,54400,62200,71500,77400,84700,109800,141400,154000,173200,204600,280200,380200,821000,2659000,0,2659,7051,24474,29372,33811,29955,24660,18506,13309,9260,6598,4687,3415,2560,1916,1431,1138,897,768,604,4685,2017,NA
"744","18","GR","Total",95920,178.188,1858,434,0.796,64592,51900,0.404,50720,42944,0.369,71924,55700,0.395,55393,48143,0.344,2800,7700,18300,28400,33000,36900,44300,51900,60000,69800,75800,82900,108550,142000,157000,176600,218000,312900,425000,982300,NA,0,6210,4824,9604,11989,12914,11970,9721,7634,5343,3716,2717,1928,1406,994,736,567,492,383,266,255,2251,2017,NA
"745","19","AG","Total",300718,574.192,1909,594,0.734,73716,61300,0.329,56872,49300,0.284,81624,66400,0.335,61853,54600,0.269,18100,23200,29500,38900,42700,46300,53700,61300,70000,80500,87200,95500,122800,155500,168500,185700,215000,278700,362800,702300,2113000,0,861,6319,24019,32791,41186,40030,35106,28427,21951,16409,12408,8945,6627,5010,3772,2904,2212,1794,1465,1087,7395,2017,NA
"746","20","TG","Total",121582,228.307,1878,494,0.772,70651,57200,0.351,54289,46000,0.307,78594,62100,0.356,59284,51464,0.291,14300,21500,26200,35400,39200,42800,49800,57200,65600,75800,82200,90200,117000,150000,163800,183700,215200,286500,383500,861900,3711100,0,710,3570,12245,15026,17374,15977,13691,10517,7953,5868,4214,3094,2244,1637,1367,929,738,599,469,419,2941,2017,NA
"747","21","TI","Total",153454,418.091,2725,429,0.84,73615,52800,0.44,56726,43200,0.396,80475,56900,0.436,61118,48308,0.378,4800,17900,21500,29900,33700,37300,44800,52800,61600,72400,79400,88700,124100,178900,203300,242900,305500,440500,600100,1408300,3972100,0,4331,7629,18886,20640,19829,18050,14876,11393,8010,5873,4266,3260,2423,1893,1538,1232,946,772,656,573,6378,2017,NA
