"","ktnr","ktname","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_u2000","year","Einheit ID"
"47","22","VD","Total",190217,149.097,784,145,0.803,29153,22100,0.362,19022.650390625,15200,0.34303230047226,33734,26900,0.336,21727.974609375,17833.333984375,0.302355617284775,1900,11000,12400,15100,16300,17400,19700,22100,25000,28900,31400,34600,46700,64800,72600,84200,102600,147500,207500,448000,1327700,0,4379,73811,59234,25646,10777,5235,2931,1890,1330,946,690,488,423,335,287,212,171,176,128,109,1019,1975,NA
"48","23","VS","Total",74969,37.001,494,124,0.755,23984,20000,0.357,15147.5263671875,12958.3330078125,0.348853230476379,28912,25300,0.331,17888.2421875,15761.904296875,0.300572067499161,0,3000,10200,13000,14300,15400,17700,20000,22500,25600,27600,30100,39000,51100,55900,63300,76800,108000,150600,297800,NA,0,7154,30070,22509,8228,3049,1418,721,436,282,224,151,128,89,65,68,51,43,37,32,17,197,1975,NA
"49","24","NE","Total",60761,38.245,629,134,0.787,26989,21500,0.334,17575.12890625,14388.888671875,0.322922229766846,31852,26800,0.31,20442.025390625,17266.666015625,0.282401502132416,0,10900,12300,14700,15900,17000,19200,21500,24200,27700,29700,32200,41300,54200,60200,69200,85200,122500,175200,414200,NA,0,1202,25072,19552,8315,2900,1267,668,427,249,215,144,115,86,78,68,43,32,45,30,27,226,1975,NA
"50","25","GE","Total",119934,161.056,1343,233,0.829,35945,25300,0.419,23215.70703125,17266.666015625,0.393779426813126,40499,30100,0.391,25943.515625,20000,0.356553196907043,0,11200,13100,16500,18100,19500,22300,25300,28900,33500,36600,40800,57500,82400,92900,108600,135800,201600,309700,891600,3274000,0,2708,35240,37193,19734,9188,4856,2863,1814,1239,891,701,543,367,305,276,212,195,142,124,126,1217,1975,NA
"51","1","ZH","Total",452637,540.929,1195,306,0.781,36080,27900,0.38,23428.72265625,18722.22265625,0.359087496995926,40744,32700,0.357,26170.15234375,21500,0.324559718370438,0,11300,13400,17500,19400,21200,24600,27900,31700,36400,39500,43500,58200,78500,86900,1e+05,123300,179000,265000,628100,1898000,0,10694,108672,131933,90844,45268,23066,12786,7667,4796,3330,2209,1794,1403,1038,870,703,588,514,391,368,3703,1977,NA
"52","2","BE","Total",341191,260.744,764,200,0.758,30407,24400,0.337,20029.869140625,16600,0.319229781627655,35156,29400,0.314,22834.25,19380.953125,0.281507968902588,9900,11300,12700,15700,17200,18700,21500,24400,27700,32000,34700,38000,49900,64900,70700,79200,94900,133300,185800,365100,799400,0,3807,113154,106245,57641,26377,12945,6957,4041,2358,1552,1125,778,624,491,382,343,282,254,211,164,1460,1977,NA
"53","3","LU","Total",100981,71.045,704,169,0.77,28622,23100,0.348,18739.279296875,15600,0.338193714618683,33219,27900,0.327,21313.318359375,18200,0.297708719968796,0,10700,12100,15000,16400,17800,20500,23100,26100,29900,32300,35400,46200,60100,65200,73100,88200,125800,185200,410200,1194300,0,3084,35289,32409,15356,6570,3183,1701,908,542,367,272,200,152,110,114,85,58,52,51,54,424,1977,NA
"54","4","UR","Total",11311,8.697,769,169,0.8,29268,23200,0.338,19208.181640625,15380.9521484375,0.328720450401306,34104,28400,0.316,21962.8984375,18100,0.285595327615738,10200,11400,12900,15700,17000,18300,20900,23200,25800,29300,31400,33900,42700,53300,57400,64600,78600,109100,181500,408500,NA,0,68,4041,3966,1821,739,272,109,78,47,40,19,12,12,7,9,4,3,6,7,4,47,1977,NA
"55","5","SZ","Total",31412,23.046,734,175,0.78,29071,23300,0.347,19128.943359375,15617.216796875,0.33871066570282,33837,28100,0.324,21828.033203125,18300,0.2955342233181,600,10900,12300,15100,16600,17900,20600,23300,26100,29600,31950,34900,45100,59000,63900,71500,83800,117300,175000,476000,NA,0,655,11146,10442,4767,1985,916,508,290,181,101,70,50,39,26,20,29,20,15,15,9,128,1977,NA
"56","6","OW","Total",8236,5.267,639,135,0.793,27147,21200,0.337,18258.638671875,14733.3330078125,0.332861244678497,31579,25600,0.316,20728.189453125,17111.111328125,0.288896232843399,10000,11000,12200,14400,15600,16800,19100,21200,23800,27100,29200,31500,42200,56200,60900,69100,80000,112100,149400,NA,NA,0,77,3522,2717,970,406,193,111,73,34,31,13,27,8,3,11,5,5,2,6,5,17,1977,NA
"57","7","NW","Total",9843,8.796,894,170,0.817,30586,23000,0.376,20208.2890625,15600,0.364935785531998,35112,28000,0.352,22772.875,18133.333984375,0.322915345430374,3400,10900,12400,15200,16700,18000,20500,23000,26100,29900,32000,34700,45000,60500,67100,75800,96400,147100,232500,NA,NA,0,182,3540,3190,1603,567,259,147,94,41,34,26,22,20,16,11,8,7,6,5,2,63,1977,NA
"58","8","GL","Total",14586,9.481,650,172,0.76,28454,23500,0.317,18747.4296875,15718.25390625,0.301350176334381,33185,28300,0.299,21509.72265625,18500,0.263143450021744,10200,11400,12700,15300,16700,18000,20800,23500,26500,29900,32100,34700,44000,56900,61700,68400,83100,126600,185300,383900,NA,0,77,5303,4867,2382,927,398,216,96,68,44,36,16,15,18,15,10,12,11,6,9,60,1977,NA
"59","9","ZG","Total",28266,29.684,1050,263,0.779,34935,26800,0.364,22550.130859375,18055.5546875,0.343432247638702,39752,31800,0.342,25284.205078125,20722.22265625,0.307403564453125,10100,11900,13900,17500,19100,20700,23700,26800,30400,35100,38300,42200,56700,76900,84900,97600,120700,171700,236400,531300,NA,0,227,7567,8862,5205,2568,1344,759,432,290,194,144,102,84,63,55,41,41,31,27,34,196,1977,NA
"60","10","FR","Total",59642,33.412,560,144,0.749,26976,22000,0.315,17481.763671875,14733.3330078125,0.298781007528305,31627,26900,0.295,20108.935546875,17333.333984375,0.25807785987854,9900,10900,12200,14800,16000,17300,19600,22000,24800,28400,30700,33500,43200,55300,59900,66700,77600,104000,145800,295900,NA,0,724,24044,19113,8343,3457,1580,801,479,289,157,119,94,59,57,53,26,27,30,10,22,158,1977,NA
"61","11","SO","Total",80418,60.328,750,217,0.752,29557,24500,0.351,19015.5859375,16047.619140625,0.333293616771698,34254,29700,0.33,21727.36328125,18833.333984375,0.297427773475647,0,10200,11900,15300,17000,18500,21600,24500,27800,31900,34400,37400,47800,61000,66100,73700,86600,125200,176100,373000,NA,0,3445,24284,25043,14301,6293,2835,1463,817,447,285,180,153,130,89,95,69,61,44,40,31,313,1977,NA
