"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_C21",507.674,2.033,0.265,0,0,4.606,40.18,1.896,614.788,70.95,13.689,61.5,47.702,1403.55,8989.469,64.25,9.811,27.751,40.362,29.364,82.763,18.291,86.474,2.386,0.553,35.104,51.244,91.923,66.742,67.955,892.901,31.545,58.744,8.48,11.971,28.274,101.233,34.525,11.371,37.555,65.307,38.696,926.347,152.817,982.426,104.709,3264.632,107.79,175.644,0,2313.353,0.076,7.289,51.307,11.29,12.305,21.643,7737.509,-4264.265,25358.75
"TTL_C22",23.132,2.842,0.092,0,0,0.382,6.022,1.292,215.943,19.659,24.8,86.195,13.546,114.004,32.602,199.32,24.441,4.6,4.038,96.312,234.735,215.269,272.155,24.452,0.322,24.68,114.16,43.236,20.749,416.257,597.492,126.955,20.079,7.945,16.271,13.385,23.455,15.155,13.232,16.613,22.894,85.907,67.536,44.127,42.298,4.588,14.387,13.82,23.222,0,564.722,0.007,0.336,52.161,4.64,1.702,0.267,1987.713,-2150.088,3866.057
"TTL_C23",14.955,0.631,0.018,0,0,0.337,8.661,0.898,74.703,2.386,20.003,4.841,4.866,36.89,15.512,13.761,352.829,15.142,7.876,59.059,98.366,66.34,75.802,5.69,0.171,4.355,33.141,40.876,10.6,2208.297,126.038,12.783,9.647,1.753,4.227,1.481,26.15,3.345,5.66,3.82,7.091,368.803,37.372,12.003,28.238,4.205,8.566,10.355,14.524,0,273.617,0.155,0.302,46.744,0,0.805,0.372,541.838,-1103.211,3623.688
"TTL_C24A",1.229,0.258,0.003,0,0,0.314,1.164,0.654,2.764,0.391,2.397,2.131,1.556,4.013,0.447,4.643,10.432,170.074,10.536,498.891,58.832,123.002,443.8,13.682,0.538,17.395,39.502,17.507,10.745,211.948,32.345,5.877,2.137,0.207,1.512,0.215,0.425,0.662,0.833,0.525,0.363,7.776,7.463,2.744,2.127,0.26,0.261,0.708,0.838,0,2.001,0.001,4.478,2.909,0.334,0.102,0.002,670.219,-659.48,1736.696
"TTL_C24B",0.821,0.195,0.003,0,0,0.503,0.607,0.186,7.348,0.482,2.662,6.253,3.011,16.793,1.919,5.367,6.332,43.502,210.177,319.838,140.68,305.343,274.985,7.987,0.254,15.012,48.942,17.469,13.74,69.078,43.01,2.995,1.874,0.387,0.844,0.124,0.966,0.732,1.05,0.851,0.949,7.954,6.306,1.949,2.456,0.263,0.347,0.504,1.106,0,35.138,0.001,0.305,17.569,0,0.175,0.031,677.029,-713.478,1610.928
"TTL_C25",56.455,9.951,0.199,0,0,1.725,16.811,4.158,259.251,16.022,86.368,43.632,38.536,105.67,24.66,55.8,73.297,76.809,51.712,1738.956,490.203,530.676,1969.707,57.767,2.685,103.337,315.976,286.303,39.292,2100.767,664.493,57.843,56.966,8.722,30.217,11.585,46.52,13.959,37.072,35.787,38.327,258.269,163.263,82.044,150.143,13.496,16.071,30.777,39.244,0,496.953,0.008,0.915,188.909,0.771,2.287,0.367,2533.961,-2178.074,11357.62
"TTL_C26",7.671,1.066,0.046,0,0,0.232,2.183,0.597,24.87,4.436,5.543,24.448,9.029,24.187,18.318,10.888,7.794,4.978,3.724,49.144,5538.353,445.671,364.992,12.756,0.746,26.276,126.56,148.973,10.922,209.205,485.122,34.151,30.734,14.963,19.041,33.739,23.826,55.37,452.115,374.488,175.638,37.738,333.808,92.882,212.863,31.403,105.615,47.059,55.301,0,1144.873,0.078,14.493,7212.03,0,13.011,50.518,9528.375,-3796.394,23866.448
"TTL_C27",7.396,0.819,0.044,0,0,0.285,3.052,0.632,20.362,2.809,5.058,9.681,9.99,16.225,8.038,8.378,9.165,6.875,5.613,66.058,888.655,1485.943,628.47,23.94,0.736,37.425,131.331,609.344,10.325,622.329,311.515,54.777,34.077,6.501,15.482,11.82,25.048,12.238,111.263,52.13,40.707,113.598,99.718,40.305,56.664,8.123,19.95,26.856,26.437,0,810.524,0.026,4.16,4518.764,0,12.664,13.729,4808.079,-5927.784,9926.351
"TTL_C28",39.416,5.681,0.087,0,0,1.314,15.038,2.803,53.572,6.824,11.988,30.49,22.002,29.564,13.011,14.465,22.183,14.167,9.569,90.822,116.307,109.538,1265.959,16.556,0.849,26.347,143.955,182.457,16.298,260.009,231.986,34.099,37.756,9.333,12.062,6.071,17.504,8.166,14.551,14.202,20.268,40.768,55.585,42.636,130.262,4.348,8.64,12.986,14.057,0,1047.325,0.024,2.614,9284.319,0,1.526,0.507,11841.758,-6537.01,18877.615
"TTL_C29",3.728,1.113,0.007,0,0,0.074,1.167,0.157,6.76,1.94,1.729,2.312,1.253,3.507,1.555,2.916,2.505,1.17,0.902,11.976,22.531,25.339,66.104,84.264,0.085,7.804,17.939,14.908,4.451,24.372,287.532,96.769,10.923,2.17,7.521,4.586,2.885,1.836,4.853,5.64,8.119,6.735,22.54,21.509,19.456,1.263,1.938,4.188,4.665,0,3214.908,0.052,10.437,1688.184,0,12.712,1.566,489.307,-5391.297,853.563
"TTL_C301",0.04,0.006,0.003,0,0,0.001,0.012,0.003,0.074,0.013,0.016,0.032,0.027,0.041,0.035,0.02,0.029,0.011,0.007,0.134,0.377,0.378,0.45,0.017,0.06,0.332,0.232,0.316,0.023,0.33,0.441,0.235,6.168,0.551,0.056,0.022,0.039,0.029,0.083,0.072,0.101,0.06,0.241,0.125,1.051,0.015,0.03,0.048,0.04,0,25.696,0,0.135,137.885,-3.588,0.02,0.005,4.747,-141.449,35.877
"TTL_C302T309",0.45,0.204,0.051,0,0,0.04,0.204,0.029,0.733,0.083,0.216,0.294,0.227,0.55,0.516,0.202,0.259,0.169,0.193,1.873,5.691,2.247,10.084,1.632,0.484,243.566,21.058,2.456,0.447,4.07,17.669,50.655,75.882,97.096,4.643,1.065,0.645,0.518,0.923,1.391,1.511,0.725,5.834,5.549,91.778,0.31,0.686,1.514,1.258,0,411.224,0.002,3.836,1381.065,-67.803,0.09,0,618.798,-1541.475,1463.416
"TTL_C31T33",80.056,10.161,0.324,0,0,1.086,19.148,4.082,118.661,21.325,33.856,57.699,49.708,50.396,28.627,24.038,54.149,11.526,7.329,102.933,163.363,132.095,253.648,11.203,0.856,37.856,492.227,426.359,39.784,294.143,825.932,191.782,329.231,134.639,45.651,42.592,129.172,36.83,99.243,85.479,269.935,156.41,255.148,197.058,246.312,52.169,80.774,176.288,111.721,0,3165.663,0.082,5.895,319.586,3.627,79.444,70.798,2576.953,-3745.34,8469.711
"TTL_D",151.798,7.238,0.321,0,0,6.786,55.55,4.991,390.463,46.422,89.768,224.799,170.148,371.757,46.35,89.496,215.282,140.185,88.972,224.02,225.92,172.954,350.569,13.39,0.612,30.149,130.052,8431.624,146.67,173.728,1682.395,279.943,84.522,19.674,117.393,85.109,480.684,81.152,195.913,131.677,501.528,743.354,349.017,220.139,688.931,179.875,151.428,303.908,278.418,0,2815.717,0.082,11.239,218.323,7.579,1.939,2.017,1668.152,-1036.25,22263.873
"TTL_E",12.643,0.893,0.028,0,0,0.218,2.096,0.451,39.416,4.89,7.592,33.82,10.755,25.093,5.735,9.497,12.328,49.881,38.39,51.356,17.967,12.524,35.438,1.475,0.051,2.188,14.219,100.103,286.763,58.448,265.489,34.024,20.075,3.152,12.022,7.549,62.946,9.765,15.435,20.591,39.214,338.538,62.68,30.485,202.523,13.348,18.483,26.156,30.994,0,709.982,0.099,35.473,187.052,0.024,1.083,1.68,11.761,-72.296,2922.585
