"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_C16",0.01286,0.03321,0.00711,0,0.01059,0.01428,0.01459,0.00727,0.01425,0.01053,1.33304,0.03893,0.0099,0.019,0.00753,0.01729,0.02613,0.01325,0.01432,0.01243,0.00703,0.014,0.0103,0.0126,0.00628,0.01316,0.10123,0.02162,0.01262,0.06584,0.00932,0.01167,0.01623,0.01631,0.01754,0.00855,0.00989,0.00918,0.00533,0.00491,0.00352,0.0234,0.00802,0.00887,0.00522,0.00844,0.00436,0.01207,0.01161,0
"TTL_C17_18",0.00805,0.00523,0.00445,0,0.00608,0.00656,0.00606,0.00427,0.01586,0.00764,0.00766,1.16273,0.00642,0.01163,0.00821,0.01151,0.01121,0.007,0.00739,0.00595,0.00552,0.00884,0.0062,0.00612,0.0013,0.00753,0.00916,0.00969,0.00806,0.00562,0.00859,0.00712,0.01191,0.00901,0.0093,0.01351,0.00779,0.04368,0.00695,0.00923,0.00688,0.00352,0.01038,0.01187,0.00703,0.01355,0.00384,0.01177,0.01348,0
"TTL_C19",0.00351,0.00475,0.00363,0,0.00375,0.0051,0.00523,0.00259,0.0036,0.00245,0.00298,0.00315,1.01809,0.00791,0.00227,0.00366,0.00436,0.00515,0.00388,0.0023,0.00179,0.00309,0.00225,0.0024,0.00051,0.00274,0.00272,0.00727,0.00362,0.00257,0.00256,0.01128,0.02033,0.02177,0.00626,0.00532,0.00215,0.0019,0.0013,0.00131,0.00099,0.00101,0.00177,0.00327,0.0014,0.00168,0.00101,0.00245,0.00205,0
"TTL_C20",0.01766,0.00462,0.00355,0,0.00525,0.01025,0.00891,0.00404,0.01025,0.01118,0.0082,0.01738,0.01882,1.09468,0.02109,0.06829,0.01246,0.00741,0.00889,0.00593,0.00459,0.00943,0.00558,0.00691,0.00164,0.00646,0.00906,0.00586,0.00834,0.00614,0.00319,0.00443,0.0063,0.00525,0.00466,0.00308,0.00464,0.00418,0.00192,0.00219,0.00133,0.00277,0.00454,0.0035,0.00245,0.00322,0.00604,0.00453,0.00491,0
"TTL_C21",0.08956,0.01689,0.02577,0,0.02561,0.04521,0.02277,0.01494,0.0562,0.018,0.01343,0.01709,0.02074,0.08547,1.67235,0.02363,0.01708,0.02189,0.02133,0.01225,0.01127,0.0158,0.01595,0.0131,0.00301,0.01583,0.02407,0.02832,0.04222,0.0139,0.01775,0.01947,0.03411,0.02462,0.02227,0.0169,0.02161,0.01805,0.01054,0.01163,0.00957,0.00747,0.05853,0.01642,0.03849,0.02821,0.20132,0.04315,0.04427,0
"TTL_C22",0.01656,0.01151,0.00914,0,0.01184,0.01479,0.01398,0.00733,0.02789,0.02437,0.01483,0.03196,0.01165,0.03145,0.01503,1.13417,0.01812,0.01277,0.01512,0.01614,0.015,0.03489,0.02179,0.03483,0.00379,0.02805,0.02494,0.01296,0.01684,0.02168,0.0119,0.02099,0.01645,0.01252,0.01344,0.0099,0.01095,0.00824,0.00511,0.00456,0.0029,0.00786,0.00689,0.00862,0.00442,0.00646,0.00485,0.00945,0.00755,0
"TTL_C23",0.00776,0.00697,0.00332,0,0.0079,0.01444,0.01418,0.00514,0.01,0.00519,0.0089,0.00561,0.00682,0.01172,0.00641,0.0153,1.13437,0.02184,0.01367,0.0097,0.00743,0.0138,0.00786,0.01056,0.00249,0.0086,0.00977,0.01176,0.00979,0.07717,0.00508,0.00611,0.0105,0.00611,0.00812,0.00462,0.00618,0.00375,0.00336,0.00277,0.00201,0.01954,0.00467,0.00411,0.00361,0.00509,0.00246,0.00583,0.00521,0
"TTL_C24A",0.00316,0.00404,0.00184,0,0.01051,0.00955,0.00547,0.00476,0.00399,0.00261,0.00461,0.00375,0.00527,0.00512,0.00217,0.00812,0.00892,1.15509,0.01993,0.06845,0.00582,0.0211,0.03645,0.02156,0.00742,0.03332,0.01141,0.00788,0.01196,0.01703,0.00274,0.004,0.00571,0.00508,0.00434,0.00242,0.00224,0.00192,0.00185,0.0015,9e-04,0.00359,0.00241,0.00245,0.00183,0.002,0.00103,0.00292,0.00224,0
"TTL_C24B",0.00364,0.0041,0.00209,0,0.00684,0.00812,0.00564,0.00387,0.005,0.00316,0.00476,0.00526,0.00521,0.01142,0.00296,0.00923,0.00789,0.04969,1.3245,0.05391,0.01431,0.06052,0.02833,0.02066,0.00473,0.02912,0.01837,0.00976,0.01635,0.01174,0.00326,0.00445,0.00646,0.00581,0.00448,0.00284,0.00277,0.00256,0.00288,0.00217,0.0011,0.00291,0.0028,0.0028,0.00202,0.00239,0.00135,0.00372,0.00283,0
"TTL_C25",0.02724,0.03304,0.0147,0,0.05372,0.06054,0.04152,0.03843,0.03792,0.02207,0.04425,0.02739,0.03434,0.04558,0.01703,0.05251,0.04777,0.10635,0.07297,1.22768,0.03503,0.10069,0.16056,0.09978,0.037,0.13349,0.0748,0.0467,0.04034,0.10347,0.01997,0.02617,0.0385,0.03113,0.02915,0.0165,0.01894,0.01394,0.01301,0.01072,0.00631,0.02651,0.01737,0.01912,0.01564,0.01445,0.00758,0.02097,0.01747,0
"TTL_C26",0.02119,0.02129,0.01294,0,0.03083,0.03173,0.02808,0.01953,0.02633,0.02036,0.01867,0.02788,0.03031,0.03236,0.02254,0.02762,0.02808,0.03193,0.03168,0.02907,1.39993,0.17624,0.07725,0.05387,0.01871,0.06563,0.0523,0.06331,0.03091,0.03324,0.02875,0.02849,0.05124,0.04697,0.03924,0.03365,0.01933,0.04454,0.09167,0.06922,0.01575,0.01261,0.03447,0.02933,0.01826,0.02613,0.01348,0.03295,0.02959,0
"TTL_C27",0.01386,0.01334,0.0089,0,0.02015,0.02866,0.02597,0.0145,0.01611,0.01131,0.01165,0.01849,0.02089,0.02155,0.01101,0.01969,0.02198,0.02739,0.02776,0.02181,0.04587,1.23962,0.05401,0.0533,0.00847,0.05063,0.0352,0.08125,0.02327,0.03965,0.01428,0.02138,0.03017,0.02235,0.02024,0.0139,0.0124,0.01407,0.02214,0.01284,0.00533,0.01003,0.01374,0.01381,0.00933,0.01161,0.00584,0.01979,0.01339,0
"TTL_C28",0.01269,0.02264,0.00942,0,0.03974,0.04683,0.03392,0.02681,0.01485,0.01022,0.01295,0.0168,0.02545,0.01835,0.00889,0.01859,0.02888,0.02871,0.02353,0.02351,0.01431,0.04037,1.11875,0.03616,0.01306,0.04175,0.03561,0.0374,0.02191,0.02384,0.00982,0.01537,0.01932,0.01892,0.01566,0.01043,0.00835,0.00845,0.00733,0.0067,0.00405,0.00681,0.00925,0.01187,0.00622,0.00769,0.0043,0.01203,0.00801,0
"TTL_C29",0.00814,0.01797,0.00485,0,0.00971,0.01385,0.01256,0.00682,0.00997,0.00816,0.00842,0.00791,0.00932,0.00969,0.00781,0.00977,0.01202,0.01129,0.01155,0.00893,0.00795,0.01633,0.01569,1.27202,0.00263,0.02645,0.01247,0.01226,0.01137,0.00885,0.01381,0.04211,0.02446,0.02026,0.01717,0.01214,0.00578,0.00585,0.00427,0.00441,0.00258,0.00309,0.0061,0.00904,0.0038,0.00492,0.00334,0.00758,0.00558,0
"TTL_C301",0.00016,0.00027,0.00026,0,2e-04,0.00016,2e-04,9e-05,0.00022,0.00016,0.00021,0.00015,0.00024,0.00016,0.00015,0.00015,0.00019,0.00021,2e-04,0.00015,0.00014,0.00021,0.00017,2e-04,1.00421,0.00157,0.00029,0.00018,0.00013,0.00015,0.00014,0.00024,0.00608,0.00102,0.00052,0.00018,0.00012,9e-05,7e-05,6e-05,4e-05,5e-05,8e-05,0.00017,0.00013,8e-05,6e-05,0.00012,9e-05,0
"TTL_C302T309",0.00232,0.00394,0.00315,0,0.00335,0.00284,0.00313,0.00182,0.00301,0.00223,0.00259,0.00236,0.00291,0.00257,0.00215,0.00229,0.00288,0.00297,0.00303,0.00229,0.00197,0.00339,0.00275,0.00748,0.00607,1.24109,0.00684,0.00311,0.00261,0.0022,0.00267,0.01155,0.01591,0.05666,0.00744,0.00637,0.00182,0.00191,0.00134,0.00149,0.00118,0.00095,0.00191,0.00566,0.00302,0.00163,0.00101,0.00249,0.00211,0
